-0.95891,9.5649,13.123,0.64963,14.082,-8.9152,14.039,-8.9015
-0.92357,9.5491,13.125,0.67545,14.049,-8.8737,14.039,-8.9015
-0.85608,9.5664,13.129,0.65072,13.986,-8.9157,14.039,-8.9015
-0.90128,9.579,13.067,0.66665,13.969,-8.9124,13.987,-8.9107
-0.97237,9.5793,13.062,0.67387,14.034,-8.9055,13.987,-8.9107
-0.98369,9.5854,12.975,0.67119,13.959,-8.9142,13.987,-8.9107
-0.85435,9.5365,13.122,0.68612,13.977,-8.8504,14.002,-8.8602
-0.9539,9.5227,13.115,0.6565,14.069,-8.8662,14.002,-8.8602
-0.95342,9.5293,13.007,0.66522,13.961,-8.8641,14.002,-8.8602
-0.89488,9.5904,13.131,0.68344,14.026,-8.907,13.989,-8.9058
-0.90667,9.57,13.079,0.66411,13.985,-8.9059,13.989,-8.9058
-0.8007,9.5649,13.155,0.66029,13.956,-8.9047,13.989,-8.9058
-0.83615,9.6051,13.185,0.70797,14.021,-8.8971,13.986,-8.8927
-0.81675,9.5664,13.113,0.67728,13.929,-8.8892,13.986,-8.8927
-0.92856,9.5393,13.078,0.6475,14.007,-8.8918,13.986,-8.8927
-0.86581,9.5355,13.168,0.64474,14.034,-8.8907,14.003,-8.9033
-0.78964,9.5621,13.228,0.66557,14.018,-8.8966,14.003,-8.9033
-0.72191,9.5816,13.235,0.65905,13.957,-8.9225,14.003,-8.9033
-0.80284,9.568,13.183,0.66431,13.986,-8.9037,13.996,-8.9069
-0.76838,9.5662,13.179,0.65606,13.947,-8.9101,13.996,-8.9069
-0.84291,9.5768,13.211,0.66987,14.054,-8.9069,13.996,-8.9069
-0.81834,9.5517,13.167,0.65301,13.985,-8.8987,14.005,-8.9077
-0.80851,9.5962,13.19,0.69246,13.998,-8.9037,14.005,-8.9077
-0.95803,9.5697,13.073,0.64915,14.031,-8.9205,14.005,-8.9077
-0.90143,9.5831,13.101,0.68729,14.002,-8.8958,14.008,-8.8851
-0.93225,9.5816,13.095,0.679,14.027,-8.9026,14.008,-8.8851
-0.84125,9.5153,13.155,0.65845,13.996,-8.8569,14.008,-8.8851
